"category","title","paper_ids","years","venues","tags","representative_scope_note","representative_gap_note","retrieved_via","source_runs"
"边界资料：纯化/物理/应用","Fidelity-Guaranteed Entanglement Routing with Distributed Purification Planning","arxiv:2605.00246v1","2026-04","arXiv","decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object","Performing distributed online routing with per-request fidelity thresholds, local state, purification costs, and heterogeneous hardware quality.","Equal-split and segment-local heuristics on synthetic models lack global optimality, explicit peak-memory constraints, and broad physical validation.","arxiv","purification-memory-routing-audit; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","From Entanglement Purification Scheduling to Fidelity-Constrained Entanglement Routing","openalex:W4407131064","2024-10","ICNP; IEEE ICNP; IEEE/ACM networking venue; OpenAlex; openalex","assumption_audit_and_pivot; characterize_limit_then_surpass; decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Gives optimal single-hop purification scheduling, analyzes purify-and-swap, and constructs fidelity-constrained paths.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; negative-progress-prefix-drl; quantum-network-routing-innovation; request-salvage-routing; single-teleportation-routing-gap-audit_3; teleportation-purification-bundle-gap; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Fully chip-based Entanglement Purification","openalex:W4414324163","2025-01","OpenAlex","architectural_operator_substitution","Integrated purification circuits seek higher output fidelity with deterministic hardware execution.","Hardware circuit design does not address logical request queues or partial bundle reclamation.","openalex","teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Generating logical magic states with the aid of non-Abelian topological order","semanticscholar:8a121c228a10b3aa2be28c875c8a101d1a9de928","2025-02","npj Quantum Information","architectural_operator_substitution","Logical magic-state preparation overhead and fault tolerance.","Not about network purification or finite logical memory scheduling.","semanticscholar","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Genuine Multipartite Entanglement Detection with Imperfect Measurements: Concept and Experiment","openalex:W4403185845","2024-10","Physical Review Letters","`assumption_audit_and_pivot`; br>`controlled_diagnostic_design`; br>`structural_prior_encoding`","Standard entanglement witnesses assume exact measurements, so small alignment errors can produce unreliable multipartite-entanglement conclusions.","The treatment assumes trusted devices and bounded small imperfections; correlated drift, adversarial calibration error, and large-scale heterogeneous measurements remain open.","openalex","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Graph Reinforcement Learning for Calibration-Aware Quantum Circuit Routing","arxiv:2606.12816v3; arxiv:2606.12816v4","2026-06","arXiv","architectural_operator_substitution; assumption_audit_and_pivot; reframe_as_solvable_object; structural_prior_encoding","Routing circuits on sparse calibrated hardware when gate-count and depth metrics mispredict fidelity.","Calibration snapshots and a fixed tree action graph limit generality; learned routing is not tied to network purification or memory constraints.","arxiv","atomic-batch-quantum-routing; purification-memory-routing-audit"
"边界资料：纯化/物理/应用","Heralded Entanglement of On-Demand Spin-Wave Solid-State Quantum Memories for Multiplexed Quantum Network Links","semanticscholar:f1f159e890bc5d76fd5411ccf482d2b65bdb2e5a","2025-01","Physical Review X","generative_process_redesign; heterogeneous_decomposition","Combining telecom heralding, temporal multiplexing, and on-demand memory recall for synchronized network links.","Detected rates remain low, and two-memory tests do not establish long-distance repeater integration, fidelity lifetime, or many-link synchronization.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Hybrid entanglement and bit-flip error correction in a scalable quantum network node","semanticscholar:cb022fc2746048e66559b1dbcff43d71dfcf0ad3","2025-04","Nature Physics","heterogeneous_decomposition; structural_prior_encoding","Protecting stored node qubits while interfacing memory, control, and flying photonic qubits.","Only bit-flip errors and a small repetition code are handled; phase errors, fault-tolerant logic, and network-scale operation remain.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Joint Modeling and Performance Evaluation of Communication and Memory Systems in the Classical and the Quantum Internet: A Time-to-Live Approach","openalex:W7165631987","2026-01","Leibniz Universität Hannover","heterogeneous_decomposition; reframe_as_solvable_object; unify_into_shared_representation","Providing one TTL analytical basis for cache and consumable quantum memories under delay, copying/consumption, degradation, and purification.","Quantum purification is modeled approximately with static link-level policies; route-level multi-request dynamic control and exact scalable memory semantics remain open.","openalex","purification-memory-routing-audit"
"边界资料：纯化/物理/应用","Joint Swapping and Purification with Failures for Entanglement Distribution in Quantum Networks","openalex:W4414170712","2025-07","","characterize_limit_then_surpass; reframe_as_solvable_object","Joint swap/purification strategy under operation failures.","Strategy/tree analysis does not specify online ownership, cancellation, or release/reassignment actions.","openalex","request-salvage-routing"
"边界资料：纯化/物理/应用","Localized Entanglement Purification","arxiv:2604.02428v1","2026-04","arXiv","architectural_operator_substitution; structural_prior_encoding","Region-level multipartite purification to improve scalability.","Changes purification protocol/physical state structure, not route-execution memory semantics.","arxiv","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","MadQCI: a heterogeneous and scalable SDN-QKD network deployed in production facilities","openalex:W4402134375","2024-09","npj Quantum Information","architectural_operator_substitution; heterogeneous_decomposition","Replaces isolated QKD deployments with a disaggregated multi-vendor production network.","QKD control architecture does not address logical EPR-pair routing, swap/purify lifecycles, or consumable route state.","openalex","single-teleportation-routing-gap-audit_3"
"边界资料：纯化/物理/应用","Massive quantum systems as interfaces of quantum mechanics and gravity","openalex:W4407518740","2025-01; 2025-02","Reviews of Modern Physics","`outside_taxonomy`; outside_taxonomy","Experiments need sufficiently sensitive massive quantum probes to distinguish gravity-induced decoherence, collapse, or entanglement mediation.","Available experiments have not selected among competing quantum-gravity descriptions, and scalable isolation and precision remain unresolved.","openalex","logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Maximizing Entanglement Routing Rate in Quantum Networks: Approximation Algorithms","openalex:W4408163751","2025-03","IEEE Transactions on Network Science and Engineering","reframe_as_solvable_object; relax_discrete_search_to_continuous; structural_prior_encoding","Selecting fidelity-feasible paths for the maximum number of demands is a combinatorial optimization problem.","Approximation guarantees target static admission rate, not online adaptation to observed failures, expiring memories, or long-run fairness.","openalex","logical-memory-deadlock-drl_2; quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","MerLin: A Discovery Engine for Photonic and Hybrid QML","arxiv:2602.11092v2","2026-02","arXiv","outside_taxonomy","QML discovery framework.","Unrelated to network routing.","arxiv","single-teleportation-routing-gap-audit_3"
"边界资料：纯化/物理/应用","MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning","arxiv:2602.11092v2","2026-02","arXiv","unify_into_shared_representation","Incompatible QML implementations prevent reproducible comparison across models, datasets, and hardware.","The framework does not yet establish practical quantum advantage on noisy physical hardware.","arxiv","atomic-batch-quantum-routing"
"边界资料：纯化/物理/应用","Modeling and Quantum-Hardware-Based Investigation of Entanglement Distribution and Classical Communication in Distributed Quantum Computing","openalex:W7123373988","2025-01","UA Campus Repository (The University of Arizona)","controlled_diagnostic_design; heterogeneous_decomposition; reframe_as_solvable_object","Understanding how source rate, routing, fidelity, and classical delay jointly constrain distributed quantum computing.","The system study does not yield an online controller for the coupled stochastic effects, and hardware tests remain small-scale.","openalex","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","No-Go Theorems for Universal Entanglement Purification","openalex:W4410344612","2025-05","OpenAlex","characterize_limit_then_surpass","Universal purification guarantees are impossible under broad state classes.","The theorem concerns operational fidelity transformations, not network resource ownership or scheduling.","openalex","teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Observation of residual entanglement in chip-based entanglement purification","arxiv:2606.03343v1","2026-06","arXiv","architectural_operator_substitution; assumption_audit_and_pivot","Reuses residual entanglement after failed purification.","Experimental residual states and physical failure, outside logical-only scope.","arxiv","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","On noise in swap ASAP repeater chains: exact analytics, distributions and tight approximations","openalex:W4410398720","2025-05","OpenAlex","characterize_limit_then_surpass; reframe_as_solvable_object","Fidelity distributions and cutoff tradeoffs in swap-as-soon-as-possible chains remain analytically difficult.","Focus is chain fidelity and cutoff, not concurrent request ownership or purification scheduling deadlock.","openalex","teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Online Resource Allocation with Cancellations","arxiv:2210.11570v3","2022-10","arXiv","characterize_limit_then_surpass; reframe_as_solvable_object","classical online matching with costly reclamation of previous allocations","useful collateral theory, but it lacks decoherence, no-cloning, swap chains, and branch-synchronized completion","extra_arxiv","quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","Optimal routing and end-to-end entanglement distribution in quantum networks","openalex:W4401728494","2024-01; 2024-08","Scientific Reports","`reframe_as_solvable_object`; architectural_operator_substitution; br>`architectural_operator_substitution`; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Allocating Bell-pair resources under probabilistic generation, finite memory, fidelity constraints, and multiple requests.","The heuristic has simulation-level comparability but no stated worst-case bound; online arrivals, fairness, distributed execution, and failed-swap rollback remain open.","openalex","logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; quantum-network-routing-innovation; quantum-routing-scenario-gap_2; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Optimal Scheduling in a Quantum Switch","openalex:W4406273389","2025-01","OpenAlex; arXiv (Cornell University)","decompose_and_delegate; reframe_as_solvable_object","Scheduling link-level entanglement generation and fusion in a two-sided quantum-switch queue to maximize fluid-scale reward.","Fluid and two-time-scale MDP results leave finite buffers, decoherence/purification, and distributed online execution unmodeled.","openalex","purification-memory-routing-audit; teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Optimization of quantum-repeater networks using stochastic automatic differentiation","openalex:W4410954891","2025-06","OpenAlex; Physical Review Research","architectural_operator_substitution; reframe_as_solvable_object; relax_discrete_search_to_continuous","Obtaining useful derivatives and design optimizations when repeater-network behavior comes from discrete random Monte Carlo events.","The differentiable surrogate targets network placement and rate-fidelity design, not explicit purification-memory route execution or robustness to model mismatch.","openalex","purification-memory-routing-audit; teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Path Percolation in Quantum Communication Networks","openalex:W4406758015","2025-01","Physical Review Letters","characterize_limit_then_surpass; reframe_as_solvable_object","correlated depletion when routed paths consume links","studies steady-state random path use, not application workflow dependencies or QoS","openalex","quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","Proving an Arrow of Time under Universal Time","openalex:W4415718504","2025-10","Preprints.org","outside_taxonomy","Abstract theoretical framework.","Irrelevant to quantum-network purification memory.","openalex","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Purification scheduling control for throughput maximization in quantum networks","openalex:W4402601148","2024-09","Communications Physics; OpenAlex","assumption_audit_and_pivot; decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object","Allocating scarce purification and network resources across concurrent end-to-end requests while meeting fidelity and avoiding conflicts.","The abstract does not expose the per-request partial-acquisition state, hold-and-wait behavior, or reclamation semantics when a purification bundle cannot be completed.","openalex","entanglement-pair-eviction-routing-drl; logical-swap-execution-gap_2; purification-memory-routing-audit; request-salvage-routing; teleportation-purification-bundle-gap; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Purification Strategy Optimization for Entanglement Routing in Quantum Networks","arxiv:2605.23331v1","2026-05","arXiv","decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Selecting purification strategies along routes to balance resource consumption against end-to-end fidelity.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","logical-memory-deadlock-drl_2; purification-memory-routing-audit; quantum-routing-scenario-gap_2; single-teleportation-routing-gap-audit_3; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Purification-enabled Entanglement Capability-Prioritized Routing in Quantum Networks","openalex:W7125951432","2025-11","openalex","reframe_as_solvable_object; structural_prior_encoding","Optimizes entanglement routing, distribution, or resource allocation under network constraints.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","logical-memory-deadlock-drl_2; request-salvage-routing"
"边界资料：纯化/物理/应用","Quantum Computing: Navigating the Future of Computation, Challenges, and Technological Breakthroughs","openalex:W4404567563","2024-11","Quantum Reports","outside_taxonomy","Decoherence, errors, scalability, materials, and control infrastructure impede useful quantum systems.","The review offers no concrete mechanism or validated route that resolves these barriers.","openalex","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2"
"边界资料：纯化/物理/应用","Quantum coordinates, localisation of events, and the quantum hole argument","openalex:W4409910717","2025-04","Communications Physics","`assumption_audit_and_pivot`; br>`structural_prior_encoding`; br>`unify_into_shared_representation`","Absolute cross-branch notions of sameness, localization, superposition, and entanglement fail when the reference frame is quantum.","The relational comparison map still needs operational measurement protocols, dynamics, interacting-field treatment, and necessary—not merely illustrative—conditions.","openalex","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Quantum Data Center Infrastructures: A Scalable Architectural Design Perspective","openalex:W4406316935","2025-01","arXiv (Cornell University)","outside_taxonomy","Scaling interconnects among many quantum processors while comparing optical-switch architecture and performance trade-offs.","A high-level architecture and simulation comparison does not specify purification-aware memory routing or a transferable operator guarantee.","openalex","purification-memory-routing-audit"
"边界资料：纯化/物理/应用","Quantum Entanglement Path Selection and Qubit Allocation via Adversarial Group Neural Bandits","openalex:W4404344863","2024-11","arXiv (Cornell University)","assumption_audit_and_pivot; reframe_as_solvable_object","Selecting paths and allocating qubits online when link success rates are unknown and network attackers may be adversarial.","The bandit model depends on its feedback/adversary assumptions and does not couple purification-memory occupancy or fidelity scheduling.","openalex","purification-memory-routing-audit"
"边界资料：纯化/物理/应用","Quantum key distribution over an encoded repeater chain with sequential swapping","semanticscholar:3860ee75d988d3c57bde9f998852f4bcbe4c2260","2025-03","2025 International Conference on Quantum Communications, Networking, and Computing (QCNC)","`assumption_audit_and_pivot`; br>`reframe_as_solvable_object`; br>`structural_prior_encoding`","Connection-oriented reservation is a poor fit for connectionless entanglement delivery, while operational errors limit useful key rates.","The analysis is limited to deterministic repeater chains and a small repetition code; arbitrary topology, concurrent contention, partial-failure rollback, and stronger codes remain open.","semanticscholar","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Quantum Key Distribution Routing Protocol in Quantum Networks: Overview and Challenges","openalex:W4405848047","2024-12","TechRxiv; openalex","outside_taxonomy","QKD routing must handle decoherence, key-rate generation, latency, noise, range limits, and specialized hardware.","The survey identifies challenges but does not offer an online uncertainty-aware resource allocation mechanism for entanglement-routing requests.","openalex","logical-memory-deadlock-drl_2; negative-progress-prefix-drl; quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","Quantum Machine Learning for 6G Space-Air-Ground Integrated Networks: A Comprehensive Tutorial and Survey","openalex:W4410393099","2025-05","","outside_taxonomy","Surveying QML approaches for high-dimensional, NP-hard integrated-network optimization, capacity, and security.","No concrete algorithm or purification-memory routing semantics are supplied; the framework is tutorial-level.","openalex","purification-memory-routing-audit; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Reinforcement Learning for Entanglement Distribution in Quantum Networks","semanticscholar:aa974631babc708e5592fe9830c740c803916eb7","2025-09","QuNet@SIGCOMM","heterogeneous_decomposition; reframe_as_solvable_object","Learning generation and swapping strategies from coupled physical-fiber and stored-Bell-pair graph states.","The short description omits reward design, sample efficiency, stale observations, decoherence robustness, and cross-topology generalization.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Reinforcement Learning for Entanglement Swapping in Quantum Networks","semanticscholar:7853d427cd29186a98a06f6b502cbb31f4eccbb8","2025-03","2025 International Conference on Quantum Communications, Networking, and Computing (QCNC)","heterogeneous_decomposition; reframe_as_solvable_object","Timing entanglement generation and swapping over inhomogeneous networks beyond repeater chains.","The abstract omits full MDP design, memory decay and fidelity constraints, training stability, and optimized non-RL baselines.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Reinforcement Learning for Flexible Entanglement Routing","openalex:W4408450484","2025-03","","heterogeneous_decomposition; reframe_as_solvable_object; unify_into_shared_representation","Heterogeneous link and node qualities and fidelity-rate preferences must be optimized jointly.","Transfer across topology and user-preference shifts without retraining is unproven.","openalex","atomic-batch-quantum-routing"
"边界资料：纯化/物理/应用","Robust Belief-State Policy Learning for Quantum Network Routing Under Decoherence and Time-Varying Conditions","openalex:W4417070617","2025-09","arXiv","adapt_via_conditioning; reframe_as_solvable_object","Belief-state routing with finite memories, reservations, purification consumption and releases.","Strongest systems neighbor, but includes decoherence/outcomes and does not isolate a deterministic logical peak-live purification-tree certificate.","openalex","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Routing and Spectrum Allocation in Broadband Quantum Entanglement Distribution","openalex:W4408281310","2025-03","IEEE Journal on Selected Areas in Communications","`decompose_and_delegate`; br>`reframe_as_solvable_object`","A broadband EPR source requires fair routing and spectral allocation despite an NP-hard allocation stage.","The separable, centralized, single-source setting omits dynamic demand, decoherence, failures, and cases where routing and spectrum decisions must be jointly revised.","openalex","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Routing Entanglement in Complex Quantum Networks Using GHZ States","arxiv:2604.03155v1","2026-04","arXiv","`assumption_audit_and_pivot`; architectural_operator_substitution; assumption_audit_and_pivot; br>`architectural_operator_substitution`; br>`heterogeneous_decomposition`; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Naively replacing Bell-state measurements with GHZ measurements ignores varying success probabilities and can reduce routing rates.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2; request-salvage-routing; single-teleportation-routing-gap-audit_3; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Scalable and fault-tolerant preparation of encoded k-uniform states","semanticscholar:691f23253ee98edccc5887fd487cbd67dbebae01","2025-03","Physical Review A","architectural_operator_substitution","Scalable encoded-state preparation and verification.","No route-level entanglement-buffer or purification-memory execution model.","semanticscholar","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Scaling and networking a modular photonic quantum computer","openalex:W4406693713","2025-01","Nature","architectural_operator_substitution; outside_taxonomy; structural_prior_encoding","Modular photonic hardware must integrate loss-tolerant networking, multiplexing, feedback, and fault-tolerant primitives.","The hardware demonstration does not solve network-layer online routing or multi-request allocation under perishable entanglement.","openalex","logical-memory-deadlock-drl_2; quantum-network-routing-innovation; quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","Service-the-Longest-Queue Among d Choices Policy for Quantum Entanglement Switching","semanticscholar:f85b92d6e9ffc37b72968146191c4baf281c7ecc","2025-03","2025 International Conference on Quantum Communications, Networking, and Computing (QCNC)","architectural_operator_substitution; reframe_as_solvable_object","Balancing distributed entanglement-request queues while limiting switch resources and classical polling.","The homogeneous Poisson/exponential star model omits decoherence, fidelity classes, bursty traffic, and topology heterogeneity.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Simulating a Quantum Switch With Concurrent Demands","openalex:W4415778999","2025-11","Concurrency and Computation Practice and Experience","controlled_diagnostic_design; heterogeneous_decomposition","Single-flow switch models miss the throughput-fidelity tradeoff caused by simultaneous demands.","The diagnostic shows overload-induced fidelity loss but does not construct the scheduling/routing controller that should respond to that regime transition.","openalex","quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","Simulation of Fidelity in Entanglement-Based Networks with Repeater Chains","openalex:W4404941846; semanticscholar:9fc0a19853ebc71a7e8b81f87304e28380a65edd","2024-10; 2024-12","Applied Sciences; OpenAlex","`outside_taxonomy`; heterogeneous_decomposition; reframe_as_solvable_object","Existing simulators lack flexible controls for memory count, distillation, topology, routing, and swapping when estimating end-to-end fidelity.","The generalized simulation and illustrative comparison are not validated against hardware and omit dynamic traffic, correlated errors, and protocol rollback.","openalex; semanticscholar","logical-swap-execution-gap_2; teleportation-purification-bundle-gap; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Stochastic Multipath Routing for High-Throughput Entanglement Distribution","arxiv:2603.25563v2","2026-03","arXiv","generative_process_redesign; reframe_as_solvable_object","Randomizes among edge-disjoint paths to balance congestion and throughput.","Multipath choice and capacity balancing are occupied; adding purification copies or path bundles is not a new scenario.","arxiv","single-teleportation-routing-gap-audit_3"
"边界资料：纯化/物理/应用","Streaming quantum state purification","openalex:W4406665043","2025-01","OpenAlex; Quantum","architectural_operator_substitution; generative_process_redesign","Streaming input and recursive purification reduce memory requirements.","Single-stream state purification does not address multi-request route scheduling or partial reservation.","openalex","teleportation-purification-bundle-gap; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Structural Property of the Optimal Entanglement Policy for Quantum Network Switch: An MDP Approach","semanticscholar:344dd146dd50d17a7f47549923e89733396a61ba","2026","IEEE Transactions on Networking","heterogeneous_decomposition; reframe_as_solvable_object","Selecting bipartite, tripartite, or mixed switch actions under decoherence to maximize weighted throughput.","Threshold results assume a specified MDP and weight model; finite buffers, nonstationarity, partial observability, and online adaptation remain.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Tailoring Fusion-Based Photonic Quantum Computing Schemes to Quantum Emitters","openalex:W4409197325","2025-04","PRX Quantum","outside_taxonomy","Tailors fusion-based photonic computing architectures to emitter capabilities and physical noise.","The work targets fault-tolerant photonic computation rather than executable logical swapping in quantum networks.","openalex","logical-swap-execution-gap_2"
"边界资料：纯化/物理/应用","Task Concurrency and Compatibility in Measurement-Based Quantum Networks","arxiv:2602.20674v1","2026-02","arXiv","`assumption_audit_and_pivot`; br>`generative_process_redesign`; br>`structural_prior_encoding`; characterize_limit_then_surpass; reframe_as_solvable_object; structural_prior_encoding","Single-task resource-state optimization ignores whether one pre-shared entangled state can serve concurrent, competing tasks.","Efficient large-scale compatibility computation, online state reconfiguration, decoherence, partial failures, and rollback between proactive and reactive resources remain open.","arxiv","entanglement-pair-eviction-routing-drl; request-salvage-routing; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Temporal Framework for Causality-Preserving Scheduling of Measurements in Quantum Networks","arxiv:2602.12459v1","2026-02","arXiv","`assumption_audit_and_pivot`; assumption_audit_and_pivot; br>`structural_prior_encoding`; reframe_as_solvable_object; structural_prior_encoding","Resolving ambiguous causal order when heterogeneous measurement timing and delayed classical feedforward make arrival times misleading.","Fixed slots reduce concurrency and assume adequate timing control; clock drift, complex topology, adaptive schedules, and rollback after missing outcomes remain unresolved.","arxiv; user_ref","entanglement-pair-eviction-routing-drl; purification-memory-routing-audit; quantum-routing-scenario-gap_2; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","To Purify or Not to Purify: Entanglement Purification under Input Fidelity Asymmetry in Quantum Networks","arxiv:2605.08771v1","2026-05","arXiv","assumption_audit_and_pivot; heterogeneous_decomposition; reframe_as_solvable_object","Deciding whether purification helps when two input pairs have unequal fidelity because of asynchronous generation and decoherence.","The tolerance and policy are limited to two-pair/two-hop settings and simplified noise; route-level finite-memory scheduling is open.","arxiv","purification-memory-routing-audit; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Topology analysis and evolution trend prediction of secure propagation networks","openalex:W4415382524","2025-10","Discover Computing","outside_taxonomy","Digital-twin network monitoring.","Irrelevant to purification.","openalex","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Toward a 2D Local Implementation of Quantum Low-Density Parity-Check Codes","openalex:W4406234258","2025-01","PRX Quantum","generative_process_redesign; heterogeneous_decomposition","Implementing high-rate qLDPC syndrome measurement under two-dimensional local-gate constraints without prohibitive overhead.","The bilayer and unequal measurement-frequency schedule is code- and architecture-specific, with no dynamic quantum-network purification-memory routing.","openalex","purification-memory-routing-audit"
"边界资料：纯化/物理/应用","Toward Hop-Independent Fidelity in Quantum Data Centers: Resource Requirements for Entanglement Purification","arxiv:2605.05369v1","2026-05","arXiv","characterize_limit_then_surpass; reframe_as_solvable_object","Bounds resource requirements for hop-independent fidelity.","Black-box resource bounds, not route-level memory live-set scheduling.","arxiv","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Universal quantum state purification with energy-preserving operations","arxiv:2604.15228v1","2026-04","arXiv","assumption_audit_and_pivot; characterize_limit_then_surpass; structural_prior_encoding","Establishing universal purification feasibility and optimal performance when operations must conserve energy.","Results specialize to depolarizing noise and abstract operations; network routing, finite memories, broader noise, and thermodynamic costs remain open.","arxiv","purification-memory-routing-audit"
"边界资料：纯化/物理/应用","WORKSWORLD: A Domain for Integrated Numeric Planning and Scheduling of Distributed Pipelined Workflows","arxiv:2603.12214v2","2026-03","arXiv","decompose_and_delegate; reframe_as_solvable_object","Jointly planning and scheduling distributed workflow graphs over data-processing and resource networks.","It is a deterministic classical workflow domain, with no quantum fidelity, decoherence, purification, or stochastic-memory semantics.","arxiv","purification-memory-routing-audit; teleportation-purification-memory-gap"
"边界资料：其他量子网络","AI and Quantum Computing for Carbon-Neutral Supply Chains","openalex:W4409406984","2025-04","American Journal of Interdisciplinary Studies","outside_taxonomy","Reviews AI/QC for supply chains.","Unrelated.","openalex","single-teleportation-routing-gap-audit_3"
"边界资料：其他量子网络","AlphaRouter: Quantum Circuit Routing with RL and Tree Search","openalex:W4406261986","2024-09","quantum-circuit venue","architectural_operator_substitution; relax_discrete_search_to_continuous","Replaces rule-based circuit routing with learned tree search.","Circuit routing is a nearby but different domain; learned search is not a novelty source.","openalex","single-teleportation-routing-gap-audit_3"
"边界资料：其他量子网络","Anti-Disturbance Path Tracking Control for USV Based on Quantum-Inspired Optimization and Dynamic Game Theory","semanticscholar:ed8006d86770468f4022740462d7f0f68c07cfdf","2025-12","Journal of Marine Science and Engineering","`decompose_and_delegate`; br>`reframe_as_solvable_object`","USV tracking must balance accuracy, smooth control, and energy use under environmental disturbances.","Evidence is simulation-only; real-vessel robustness, optimizer scaling, and whether the quantum-inspired encoding adds value over strong classical optimizers remain unresolved.","semanticscholar","teleportation-routing-rollback-gap"
"边界资料：其他量子网络","Challenges and opportunities in quantum optimization","openalex:W4403834027","2024-01; 2024-10","Nature Reviews Physics","`outside_taxonomy`; outside_taxonomy","Practical quantum optimization is limited by hardware and algorithmic constraints.","No abstract-level executable mechanism or definitive closure can be identified; practical advantage, scaling, and benchmarking remain broad open issues.","openalex","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; quantum-routing-scenario-gap_2; teleportation-routing-rollback-gap"
"边界资料：其他量子网络","Combining quantum processors with real-time classical communication","openalex:W4404566602","2024-11","Nature","architectural_operator_substitution; decompose_and_delegate","Overcoming limited QPU size and planar connectivity by splitting circuits across processors linked by real-time classical control.","Circuit cutting and classical feed-forward do not provide a native entanglement-swap execution protocol, and their noise and scaling overhead remain.","openalex","logical-swap-execution-gap_2"
"边界资料：其他量子网络","Enhancing Inter-Domain Route Selection Through Knowledge Graph and Reputation Mechanisms","semanticscholar:611b368738b6b78dd3e473924ec0c1aa77760940","2025-01","AIMEAC","reframe_as_solvable_object; structural_prior_encoding","malicious classical route announcements","off-core; reputation does not encode quantum state consumption","semanticscholar","quantum-routing-scenario-gap_2"
"边界资料：其他量子网络","Exploring quantum materials and applications: a review","openalex:W4406477905","2025-01","Journal of Materials Science Materials in Engineering","`outside_taxonomy`","The review catalogues quantum-material properties and prospective applications.","It offers no specific executable closure; synthesis control, reproducibility, device integration, and application-level performance remain open.","openalex","teleportation-routing-rollback-gap"
